ID,Title_Romaji,Title_English,Title_Native,Type,Format,Genres,Episodes,Season,Season_Year,Start,End,Source,Country,Studios,Authors_Staff,Status,Average_Score,Mean_Score,Popularity,Favourites
20665,Shigatsu wa Kimi no Uso,Your lie in April,四月は君の嘘,ANIME,TV,"Drama, Music, Romance, Slice of Life",22.0,FALL,2014.0,2014-10-10,2015-3-20,MANGA,JP,A-1 Pictures,"Kyouhei Ishiguro (Director), Takao Yoshioka (Series Composition), Yukiko Aikei (Character Design), Masaru Yokoyama (Music), Naoshi Arakawa (Original Creator)",FINISHED,84.0,84.0,508301,26129
1735,NARUTO: Shippuuden,Naruto: Shippuden,NARUTO -ナルト- 疾風伝,ANIME,TV,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",500.0,WINTER,2007.0,2007-2-15,2017-3-23,MANGA,JP,Studio Pierrot,"Masashi Kishimoto (Original Creator), Yasuharu Takanashi (Music (eps 2-256, 261-500)), Junki Takegami (Series Composition (eps 1-289, 296-479)), FLOW (Theme Song Performance (OP6, ED34)), Akitarou Daichi (Episode Director (eps 10, 18, 27, 34, 50, 58, 66, 74))",FINISHED,81.0,81.0,506462,32499
104578,Shingeki no Kyojin 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人３ Part.2,ANIME,TV,"Action, Drama, Fantasy, Mystery",10.0,SPRING,2019.0,2019-4-29,2019-7-1,MANGA,JP,WIT STUDIO,"Hajime Isayama (Original Creator), Linked Horizon (Theme Song Performance (OP)), cinema staff (Theme Song Performance (ED)), Masashi Koizuka (Director), Hiroyuki Sawano (Music)",FINISHED,89.0,89.0,503729,23035
21355,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,ANIME,TV,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",25.0,SPRING,2016.0,2016-4-4,2016-9-19,LIGHT_NOVEL,JP,WHITE FOX,"Masaharu Watanabe (Director), Tappei Nagatsuki (Original Story), Shinichirou Ootsuka (Original Character Design), Masahiro Yokotani (Series Composition), Yoshiko Nakamura (Script (eps 6, 7, 9))",FINISHED,81.0,81.0,497300,25920
20464,Haikyuu!!,HAIKYU!!,ハイキュー!!,ANIME,TV,"Comedy, Drama, Sports",25.0,SPRING,2014.0,2014-4-6,2014-9-21,MANGA,JP,Production I.G,"Susumu Mitsunaka (Director), Hiromi Kikuta (Sound Director), Takahiro Kishida (Character Design), Takahiro Chiba (Chief Animation Director (eps 3, 5, 7, 9, 11, 13, 15, 17, 19-25)), Haruichi Furudate (Original Creator)",FINISHED,83.0,83.0,494740,28364
9253,Steins;Gate,Steins;Gate,シュタインズ・ゲート,ANIME,TV,"Drama, Psychological, Sci-Fi, Thriller",24.0,SPRING,2011.0,2011-4-6,2011-9-14,VISUAL_NOVEL,JP,WHITE FOX,"Colleen Clinkenbeard (ADR Director (English)), Yui Sakakibara (Theme Song Performance (ED)), J. Michael Tatum (ADR Script (English)), Nitro Plus (Original Creator), Kanako Itou (Theme Song Performance (OP))",FINISHED,89.0,89.0,493916,42979
101291,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,青春ブタ野郎はバニーガール先輩の夢を見ない,ANIME,TV,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",13.0,FALL,2018.0,2018-10-4,2018-12-27,LIGHT_NOVEL,JP,CloverWorks,"Hajime Kamoshida (Original Story), Keiji Mizoguchi (Original Character Design), Souichi Masui (Director), Masahiro Yokotani (Series Composition), the peggies (Theme Song Performance (OP))",FINISHED,80.0,80.0,470479,23949
97940,Black Clover,Black Clover,ブラッククローバー,ANIME,TV,"Action, Adventure, Comedy, Fantasy",170.0,FALL,2017.0,2017-10-3,2021-3-30,MANGA,JP,Studio Pierrot,"Yuuki Tabata (Original Creator), Tatsuya Yoshihara (Director (eps 1-152)), Itsuko Takeda (Character Design), Miyuna (Theme Song Performance (OP5, ED5)), Megumi Han (Theme Song Performance (ED: ep 50))",FINISHED,78.0,78.0,468331,22848
20447,Noragami,Noragami,ノラガミ,ANIME,TV,"Action, Adventure, Comedy, Supernatural",12.0,WINTER,2014.0,2014-1-5,2014-3-23,MANGA,JP,bones,"Hitomi Mieno (Series Composition), Toshihiro Kawamoto (Character Design), Taku Iwasaki (Music), Kazuo Nagai (Art Director), Minoru Yamada (Sound Director)",FINISHED,77.0,77.0,466730,13384
19815,No Game No Life,"No Game, No Life",ノーゲーム・ノーライフ,ANIME,TV,"Adventure, Comedy, Ecchi, Fantasy",12.0,SPRING,2014.0,2014-4-9,2014-6-25,LIGHT_NOVEL,JP,MADHOUSE,"Yuu Kamiya (Original Creator), Atsuko Ishizuka (Director), Jukki Hanada (Series Composition), Kouji Ooya (Character Design), Konomi Suzuki (Theme Song Performance (OP1))",FINISHED,77.0,77.0,466196,15599
